nr,seil,zeit,steps,distanz_m,ziel_m,winkel,notiz
2,Seil 1,,17138,5.2,,,
3,Seil 1,,16145,3.9,,,
4,Seil 1,,16376,4.0,,,
5,Seil 1,,17645,6.5,,,
6,Seil 1,,16899,4.2,,,
7,Seil 1,,17490,5.4,,,
8,Seil 1,,17490,6.5,,,
9,Seil 1,,16947,5.8,,,
10,Seil 1,,17270,6.3,,,
11,Seil 1,,17131,6.0,,,
12,Seil 1,,18131,7.6,,,
13,Seil 1,,18317,8.5,,,
14,Seil 1,,18238,9.5,,,
15,Seil 1,,18238,7.8,,,
16,Seil 1,,18262,9.6,,,
17,Seil 1,,18240,7.2,,,
18,Seil 1,,18240,7.5,,,
19,Seil 1,,18292,7.9,,,
20,Seil 1,,18312,7.5,,,
21,Seil 1,,18360,7.4,,,
22,Seil 1,,18360,7.9,,,
23,Seil 1,,18342,7.7,,,
24,Seil 1,,18866,9.9,,,
25,Seil 1,,18955,8.0,,,
26,Seil 1,,19117,9.0,,,
27,Seil 1,,19148,9.6,,,
28,Seil 1,,19256,9.7,,,
29,Seil 1,,19456,9.7,,,
30,Seil 1,,19555,10.8,,,
31,Seil 1,,19469,9.9,,,
32,Seil 1,,19513,10.0,,,
33,Seil 1,,20524,13.4,,,
34,Seil 1,,20036,12.4,,,
35,Seil 1,,19846,11.4,,,
36,Seil 1,,19963,12.2,,,
37,Seil 1,,19911,11.6,,,
38,Seil 1,,20107,13.8,,,
39,Seil 1,,19927,13.3,,,
40,Seil 1,,19806,13.0,,,
41,Seil 1,,19627,13.0,,,
42,Seil 1,,19488,12.8,,,
43,Seil 1,,19139,11.1,,,
44,Seil 1,,19294,12.3,,,
45,Seil 1,,19237,11.2,,,
46,Seil 1,,19216,11.1,,,
47,Seil 1,,19426,11.4,,,
48,Seil 1,,19685,14.2,,,
49,Seil 1,,19576,13.6,,,
50,Seil 1,,19618,12.6,,,
51,Seil 1,,19618,12.1,,,
52,Seil 1,,19507,12.2,,,
53,Seil 1,,19779,12.9,,,
54,Seil 1,,19986,13.8,,,
55,Seil 1,,20093,14.3,,,
56,Seil 1,,19949,13.8,,,
57,Seil 1,,20001,13.7,,,
58,Seil 1,,20031,13.4,,,
59,Seil 1,,20336,14.7,,,
60,Seil 1,,20503,14.8,,,
61,Seil 1,,20829,16.1,,,
62,Seil 1,,20829,15.7,,,
63,Seil 1,,21347,15.8,,,
64,Seil 1,,21629,19.6,,,
65,Seil 1,,21464,16.4,,,
66,Seil 1,,21574,18.5,,,
67,Seil 1,,21468,19.2,,,
68,Seil 1,,21485,17.2,,,
69,Seil 1,,21581,17.4,,,
70,Seil 1,,21683,18.1,,,
71,Seil 1,,22279,21.2,,,
72,Seil 1,,22369,18.0,,,
73,Seil 1,,22670,19.8,,,
74,Seil 1,,22709,19.8,,,
75,Seil 1,,23186,20.6,,,
76,Seil 1,,23452,22.5,,,
77,Seil 1,,23371,21.1,,,
78,Seil 1,,23312,22.0,,,
79,Seil 1,,23831,22.3,,,
80,Seil 1,,24207,27.0,,,
81,Seil 1,,23956,26.3,,,
82,Seil 1,,23563,26.9,,,
83,Seil 1,,23328,22.7,,,
84,Seil 2,,16286,4.0,,,
85,Seil 2,,17199,5.8,,,
86,Seil 2,,18228,8.1,,,
87,Seil 2,,19453,9.6,,,
88,Seil 2,,19737,10.7,,,
89,Seil 2,,19944,11.7,,,
90,Seil 2,,20051,11.2,,,
91,Seil 2,,20182,11.2,,,
92,Seil 2,,20332,12.1,,,
93,Seil 2,,20332,15.0,,,
94,Seil 2,,20332,12.0,,,
95,Seil 2,,20544,12.3,,,
96,Seil 2,,20837,13.0,,,
97,Seil 2,,21137,13.2,,,
98,Seil 2,,21347,15.4,,,
99,Seil 3,,16309,3.8,,,
100,Seil 3,,16309,3.1,,,
101,Seil 3,,16669,4.9,,,
102,Seil 3,,16479,3.7,,,
103,Seil 3,,16869,4.9,,,
104,Seil 3,,17169,4.75,,,
105,Seil 3,,17621,5.7,,,
106,Seil 3,,18496,6.5,,,
107,Seil 3,,19442,8.6,,,
108,Seil 3,,19066,9.2,,,
109,Seil 3,,18404,6.4,,,
110,Seil 3,,19302,7.9,,,
111,Seil 3,,20142,10.0,,,
112,Seil 3,,21312,13.0,,,
113,Seil 3,,24038,20.6,,,
114,Seil 3,,21170,12.9,,,
115,Seil 3,,20897,11.4,,,
116,Seil 3,,21070,11.8,,,
117,Seil 3,,22810,17.4,,,
118,Seil 3,,21939,14.6,,,
119,Seil 3,,21792,14.0,,,
120,Seil 3,,22964,18.1,,,
121,Seil 3,,22481,16.8,,,
122,Seil 3,,22303,14.9,,,
123,Seil 3,,22546,16.2,,,
124,Seil 3,,23213,18.7,,,
125,Seil 3,,23061,18.6,,,
126,Seil 3,,22933,17.5,,,
127,Seil 3,,23040,18.9,,,
128,Seil 3,,22851,18.2,,,
129,Seil 3,,23521,20.7,,,
130,Seil 3,,23376,19.7,,,
131,Seil 3,,23913,24.8,,,
132,Seil 4,15:23:43,17256,5.0,5,geradeaus,
133,Seil 4,15:26:02,16605,4.1,4.1,geradeaus,
134,Seil 4,15:27:18,17877,6.2,6.2,geradeaus,
135,Seil 4,15:28:03,19030,7.8,7.8,geradeaus,
136,Seil 4,15:28:50,19561,9.3,9.3,geradeaus,
137,Seil 4,15:30:36,20063,10.2,10.2,geradeaus,
138,Seil 4,15:32:03,20534,11.1,11.1,geradeaus,
139,Seil 4,15:32:38,20976,11.9,11.9,geradeaus,
140,Seil 4,15:33:40,22443,15.5,15.5,geradeaus,
141,Seil 4,15:34:24,21388,12.6,12.6,geradeaus,
142,Seil 4,15:34:58,22121,14.6,14.6,geradeaus,
143,Seil 4,15:36:14,21388,13.4,13.4,geradeaus,
144,Seil 4,15:38:29,22121,15.3,15.3,geradeaus,
145,Seil 4,15:39:23,21388,13.1,13.1,geradeaus,
146,Seil 4,15:40:37,21769,14.0,14,geradeaus,
147,Seil 4,15:41:43,22443,16.3,16.3,geradeaus,
148,Seil 4,15:44:05,22121,15.2,15.2,geradeaus,
149,Seil 4,15:52:07,22443,16.1,16.1,geradeaus,
150,Seil 4,15:56:05,23230,18.5,18.5,geradeaus,
151,Seil 4,15:57:04,22998,18.0,18,geradeaus,
152,Seil 4,16:00:24,23433,20.3,20.3,geradeaus,
153,Seil 4,16:03:31,23860,23.4,23.4,geradeaus,
154,Seil 4,16:05:20,23433,19.5,19.5,geradeaus,
155,Seil 4,16:10:49,23433,20.3,20.3,geradeaus,
156,Seil 4,16:17:21,23605,21.3,21.3,geradeaus,
157,Seil 4,16:26:46,23996,25.0,25,geradeaus,
158,Seil 4,16:30:14,23748,22.4,22.4,geradeaus,
159,Seil 4,16:33:17,23943,23.6,23.6,geradeaus,
160,Seil 4,15:29:47,20881,15.6,12,geradeaus,automatisch vom Arduino
161,Seil 4,15:30:59,19805,11.9,12,geradeaus,automatisch vom Arduino
162,Seil 4,15:35:45,20639,14.2,14,geradeaus,automatisch vom Arduino
163,Seil 4,15:39:10,21359,15,16,geradeaus,automatisch vom Arduino
164,Seil 4,15:39:55,21508,17.1,16,geradeaus,automatisch vom Arduino
165,Seil 4,15:40:38,21339,16.2,16,geradeaus,automatisch vom Arduino
166,Seil 4,15:42:09,21964,19,18,geradeaus,automatisch vom Arduino
167,Seil 4,15:43:06,21925,17,18,geradeaus,automatisch vom Arduino
168,Seil 4,15:44:00,21994,18.5,18,geradeaus,automatisch vom Arduino
169,Seil 4,15:44:50,22511,22.1,20,geradeaus,automatisch vom Arduino
170,Seil 4,15:46:06,22446,22.1,20,geradeaus,automatisch vom Arduino
171,Seil 4,15:47:02,22407,18.5,20,geradeaus,automatisch vom Arduino
172,Seil 4,15:47:55,22399,20.4,20,geradeaus,automatisch vom Arduino
173,Seil 4,15:49:06,22922,20.7,22,geradeaus,automatisch vom Arduino
174,Seil 4,15:53:43,23031,22.2,22,geradeaus,automatisch vom Arduino
175,Seil 4,15:55:35,23031,24.5,22,geradeaus,automatisch vom Arduino
176,Seil 4,15:56:17,22858,20.8,22,geradeaus,automatisch vom Arduino
177,Seil 4,15:57:03,22933,21.4,22,geradeaus,automatisch vom Arduino
178,Seil 4,15:58:34,23467,23.3,24,geradeaus,automatisch vom Arduino
179,Seil 4,16:00:32,23443,23.6,24,geradeaus,automatisch vom Arduino
180,Seil 4,16:02:42,23539,23.6,24,geradeaus,automatisch vom Arduino
181,Seil 4,16:03:38,23580,24,24,geradeaus,automatisch vom Arduino
